ID,Type,C1-C3,C4-C7,C8-C15,C16-C22,C23-C29,C30+,SP.GR,T,WAX
1,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,304.15,0
2,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,298,0.5
3,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,293,0.8
4,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,288,0.7
5,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,278,1
6,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,273,1.5
7,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,268,1.3
8,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,263,1.5
9,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,258,1.5
10,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,253,2
11,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,248,1.8
12,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,242,3.5
13,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,239,4.3
14,OIL1,2.127,10.306,45.74,19.594,10,13.23,0.953,234,6.4
16,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,312.15,0
17,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,300,0.2
18,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,295,0.5
19,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,290,0.5
20,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,285,1.5
21,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,278,1.8
22,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,275,2
23,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,270,1.8
24,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,265,2
25,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,260,1.9
26,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,255,3
27,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,248,2.8
28,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,240,4.5
29,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,237,5
30,OIL2,0.485,16.448,48.931,16.029,6.974,8.177,0.935,230,7
32,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,313.15,0
33,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,306,0.8
34,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,300,2
35,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,290,4
36,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,285,6
37,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,280,8
38,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,277,8.2
39,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,270,10
40,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,265,10.1
41,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,258,9.8
42,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,250,11.8
43,OIL5,1.595,13.096,33.468,51.534,0,0,0.893,240,13
45,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,311.15,0
46,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,300,0.2
47,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,294,1
48,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,290,2
49,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,280,3
50,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,275,3.1
51,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,270,2.5
52,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,260,2.5
53,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,250,3
54,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,240,4.9
55,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,235,5.5
56,OIL8,1.337,24.337,46.588,27.701,0,0,0.934,230,8
58,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,314.15,0
59,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,309,0.5
60,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,298,0.9
61,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,290,1.5
62,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,280,3.4
63,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,270,5
64,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,260,4.3
65,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,250,4
66,OIL10,1.553,29.59,45.246,24.108,0,0,0.88,240,5.5
68,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,295.15,0
69,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,293,1.9
70,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,290,1.85
71,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,286,2.3
72,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,272,3
73,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,265,3.8
74,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,260,4.5
75,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,257,7.6
76,OIL11,0.218,3.057,39.37,57.335,0,0,0.963,250,12.8
78,OIL12,1.778,30.952,47.03,20.183,0,0,0.872,305.15,0
79,OIL12,1.778,30.952,47.03,20.183,0,0,0.872,300,0.4
80,OIL12,1.778,30.952,47.03,20.183,0,0,0.872,290,1
81,OIL12,1.778,30.952,47.03,20.183,0,0,0.872,280,1.4
82,OIL12,1.778,30.952,47.03,20.183,0,0,0.872,270,2
83,OIL12,1.778,30.952,47.03,20.183,0,0,0.872,260,3.1
84,OIL12,1.778,30.952,47.03,20.183,0,0,0.872,250,3.9
85,OIL12,1.778,30.952,47.03,20.183,0,0,0.872,240,4.9
87,OIL15,1.511,28.232,49.791,20.432,0,0,0.887,308.15,0
88,OIL15,1.511,28.232,49.791,20.432,0,0,0.887,300,0.2
89,OIL15,1.511,28.232,49.791,20.432,0,0,0.887,290,0.6
90,OIL15,1.511,28.232,49.791,20.432,0,0,0.887,280,1
